"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1842402699012419799","Sat Oct 05 23:58:30 +0000 2024","0","@NenkMonica @nadiemmakarim Menurut gue kurikulum merdeka itu bagus. Dengan kumer murid bisa mendapatkan ilmu sesuai dengan cara belajar mereka. Yang salah cuma: 1. Tidak ada UN 2. Tidak ada sistem tinggal kelas 3. Gak boleh ada rapor merah","1842716021523943814","","NenkMonica","in","Medan Baru, Indonesia","0","0","0","https://x.com/effrinasarii/status/1842716021523943814","1145581706390323200","effrinasarii"
"1842382997640696242","Sat Oct 05 23:54:16 +0000 2024","0","@tanyakanrl Ini generasi kebanggaan Nadiem Makarim dg kurikulum merdeka nya","1842714958452388105","","tanyakanrl","in","Amerika","0","0","0","https://x.com/law20956/status/1842714958452388105","1716646812386549760","law20956"
"1842402699012419799","Sat Oct 05 23:48:26 +0000 2024","2","@NenkMonica @nadiemmakarim angkatan ku bnr bgt jd angkatan pertama kurikulum buatan pak nadiem anjrr jd kelinci percobaan. habis covid 2 tahunan dirumah tbtb SMA kelas 10 kena kurikulum merdeka. planga plongo ajggg","1842713490966102116","","NenkMonica","in","study account! ★ ina.","0","0","0","https://x.com/FPsiUGM25/status/1842713490966102116","771199320473210881","FPsiUGM25"
"1841750892368036261","Sat Oct 05 23:42:24 +0000 2024","0","@tempodotco Kurikulum merdeka berarti ga ada/bebas kurikulum kan merdeka merdeka belajar ya berarti ga ada belajar/bebas aja gitu ga belajar pun tak masalah ","1842711971814342689","","tempodotco","in","","0","0","0","https://x.com/JokoSet11473682/status/1842711971814342689","1776969602024783872","JokoSet11473682"
"1842402699012419799","Sat Oct 05 23:39:48 +0000 2024","0","@NenkMonica @nadiemmakarim Gua suka banget malah sama kurikulum merdeka:(","1842711314814402783","","NenkMonica","in","","0","0","0","https://x.com/bvnnyloaf/status/1842711314814402783","1792360522966519808","bvnnyloaf"
"1842704206136017016","Sat Oct 05 23:37:51 +0000 2024","2","@TOM5helby Dampak instan kurikulum merdeka","1842710827419259026","","TOM5helby","in","Zimbabwe ","0","0","0","https://x.com/V3g3L/status/1842710827419259026","224431376","V3g3L"
"1842709498689131002","Sat Oct 05 23:32:35 +0000 2024","1","Org org pada blaming Kurikulum Merdeka ga bagus krn siswa/i zaman skrg pada ga hapal ibukota ga becus sama math dasar dll Pada ga pernah ketemu org dewasa yg kalau diajak ngobrol ngang nguoong soal pengetahuan yak?","1842709498689131002","","","in","Home, Street, and Nature","0","0","0","https://x.com/roses_skeleton/status/1842709498689131002","56334587","roses_skeleton"
"1842708639850852683","Sat Oct 05 23:29:10 +0000 2024","2","dipikir-pikir dulu kurikulum merdeka disuruh ke sekolah jam set 5 pagi melakukan kegiatan yang questionable dan harus balik ke smp selama 3 hari yang jaraknya hampir 300km pakai duit sendiri it's kinda insane for me","1842708639850852683","","","in","she/they (DNFWC)","0","2","1","https://x.com/wibunisme/status/1842708639850852683","1318114681941229568","wibunisme"
"1842402699012419799","Sat Oct 05 23:16:32 +0000 2024","1","@SWilmar9180355 @dlatifsetiawan @NenkMonica @nadiemmakarim Enggak mbak di kurikulum merdeka siswa itu gak boleh gak naik kelas solusinya cuman 2 naik kelas bersyarat atau dikeluarkan dikeluarkan pun itu klo dah berat banget misal gak masuk sekolah selama 1 semester pembelajaran","1842705463538008312","","SWilmar9180355","in","","0","0","0","https://x.com/LM_2801/status/1842705463538008312","393357370","LM_2801"
"1842705282251825286","Sat Oct 05 23:15:49 +0000 2024","0","Asesmen Kurikulum Merdeka 1. Konsep Asesmen 2. Asesmen Awal Formatif &amp; Sumatif 3. KKTP 4. Perancangan Asesmen yang Berpusat pada Peserta Didik 5. Pengolahan Hasil Asesmen 6. Mekanisme Kenaikan Kelas *Selengkapnya di:* https://t.co/b0tlKtuEQB","1842705282251825286","","","in","","0","0","0","https://x.com/Mas_Purnawanto/status/1842705282251825286","366851368","Mas_Purnawanto"
"1842382997640696242","Sat Oct 05 23:15:08 +0000 2024","0","@tanyakanrl Pembodohan anak sekolah zaman sekarang lewat kurikulum merdeka. Hal sederhana saja jadi tidak tahu padahal mungkin IQ nya baik-baik saja tapi banyak kosongnya karena merdeka.","1842705108972552380","","tanyakanrl","in","","0","0","0","https://x.com/sw_agus/status/1842705108972552380","469895835","sw_agus"
"1842382997640696242","Sat Oct 05 23:11:36 +0000 2024","0","@piscesgirle @tanyakanrl Kan di kurikulum merdeka ga hapalin istilah2 itu. Yaa inilah hasil kumer","1842704218253390206","","piscesgirle","in","","0","0","0","https://x.com/fromdhany/status/1842704218253390206","1816826260003414016","fromdhany"
"1842702272725491994","Sat Oct 05 23:09:11 +0000 2024","0","Rata2 gak punya karakter pembelajar diberi kurikulum padat spt ktsp aja pada males apalagi kurikulum merdeka yg mudah makin pada nyepelein ya karena emang gak ada niatan belajar Makanya klo mau diperbaiki mah bukan kurikulum dulu tapi karakternya","1842703611706671432","","efen05","in","","0","0","0","https://x.com/efen05/status/1842703611706671432","1470991665196244998","efen05"
"1842402699012419799","Sat Oct 05 23:02:03 +0000 2024","1","@deelvote @NenkMonica @nadiemmakarim Jujur karena gw SMK sampe lulus masih kurikulum 2013(gk tau jenisnya yg mana) walaupun di tahun 2023-2024 awal(sebelum Uji kompetensi) itu kan dah mulai rilis kan ya kurikulum merdeka itu. Emang sistem pembelajaran mereka itu seperti ap dah?","1842701815995154511","","deelvote","in","","0","0","1","https://x.com/Hsssytt/status/1842701815995154511","1496256916397629441","Hsssytt"
"1842701739017089470","Sat Oct 05 23:01:44 +0000 2024","0","Tp emg kurikulum merdeka gk jelas","1842701739017089470","","","in","Indonesia","0","0","0","https://x.com/_nonamanisss/status/1842701739017089470","1147320329104048128","_nonamanisss"
"1841790299959627809","Sat Oct 05 22:57:46 +0000 2024","1","@hashibiraIno_ @kura2giok @BarisanPemudaRI 3 tahun covid 2th terakhir baru diterapkan. Bagus utk anak2 ini mereka bs pilih sesuai minat bakat mereka. Elemen pendidikan ini ada ortu didalamnya ya kau pikir anak2 ini kek stang becak bisa main lepas aja. Kl anakku yg semester 7 cocok x dgn kurikulum merdeka ini","1842700740412006507","","hashibiraIno_","in","Ini Medan Bung!!!","0","0","0","https://x.com/Joenme88/status/1842700740412006507","67630857","Joenme88"
"1842382997640696242","Sat Oct 05 22:50:58 +0000 2024","0","@SiYulaaa17 @tanyakanrl Kaget bgt sih entah apa yg mereka pelajari. Dulu SD udh apal menteri apal baju adat apal negara apal provinsi di indo. Kok bisa mengalami penurunan gini dengan dalih kurikulum merdeka","1842699026028020002","","SiYulaaa17","in","","0","0","0","https://x.com/sao94027_/status/1842699026028020002","1137757799574720512","sao94027_"
"1842382997640696242","Sat Oct 05 22:34:04 +0000 2024","0","@tanyakanrl Ok ini pengalaman pribadi ya aku punya kok adik masih SD dengan kurikulum merdeka. Itu isi bukunya tuh juga membahas kok tentang keragaman di Indonesia kemudian membahas daerah kemudian soal yang diberikan juga lebih menantang menurut ku dibanding yang sekolah jaman ku","1842694776354955430","","tanyakanrl","in","Depok, Indonesia","0","1","0","https://x.com/Dhevva34/status/1842694776354955430","1376074336289759232","Dhevva34"
"1842402699012419799","Sat Oct 05 22:16:52 +0000 2024","0","@ErickoTandayu @deelvote @NenkMonica @nadiemmakarim Betul pak. Kurikulum merdeka sbrnya bagus tapi SDM pendidik banyak yg belum capable. Saya yakin apapun kurikulum yg dipakai pasti ada pro kontra","1842690445283070173","","ErickoTandayu","in","Yogyakarta Indonesia ","0","1","0","https://x.com/Pranataaaaa_/status/1842690445283070173","1363783763243622400","Pranataaaaa_"
"1842402699012419799","Sat Oct 05 22:14:54 +0000 2024","5","@deelvote @NenkMonica @nadiemmakarim Saya jg bekerja di bidang pendidikan sebenarnya kurikulum merdeka ini bagus. Tapi SDM Indonesia terutama gurunya banyak yg belum capable","1842689951236014132","","deelvote","in","Yogyakarta Indonesia ","1","1","1","https://x.com/Pranataaaaa_/status/1842689951236014132","1363783763243622400","Pranataaaaa_"
"1842382997640696242","Sat Oct 05 21:59:27 +0000 2024","0","@tanyakanrl Kurikulum merdeka ","1842686064563253251","","tanyakanrl","in","Jawa Barat, Indonesia","0","0","0","https://x.com/mapagjuara/status/1842686064563253251","2936697373","mapagjuara"
"1842402699012419799","Sat Oct 05 21:40:55 +0000 2024","0","@NenkMonica @nadiemmakarim Jelas GAGAL karna dia mengganti kurikulum 13 ke kurikulum merdeka tuh bukan semata mata untuk mempermudah anak dalam belajar dan meringankan guru2 dalam administrasi diamah bisnis berkedok kurikulum","1842681399230546028","","NenkMonica","in","","0","0","0","https://x.com/masito52345/status/1842681399230546028","1759415486306189312","masito52345"
"1842676157592019206","Sat Oct 05 21:20:05 +0000 2024","0","Kmrn tuh bahas pendidikan ma kakak kurikulum merdeka tuh jelek anak disuruh praktik ini itu tp pas tes materi yg keluar beda lg anak disklh bnyk mainnya ketimbang bljr yg serius kl dirumh ga bljr lagi ya udah ketinggalan &amp; tau sendiri ortu di indo tuh anak sklh ya udah selese","1842676157592019206","","","in","","0","1","0","https://x.com/amorsweetimpact/status/1842676157592019206","915557263321923584","amorsweetimpact"
