"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1851753274497732782","Wed Oct 30 22:29:19 +0000 2024","0","Universitas Muhammadiyah Pontianak meraih hibah program bantuan biaya luaran prototipe 2024 dari Kemendikbudristek untuk Mendukung Kurikulum Merdeka. https://t.co/27FZCe4k2J","1851753274497732782","","","in","Yogyakarta","0","0","0","https://x.com/majalahSM/status/1851753274497732782","836611718","majalahSM"
"1851750554172821936","Wed Oct 30 22:18:30 +0000 2024","2","Hi moots menurut kalian penerapan atau pemakaian kurikulum merdeka untuk semua jenjang itu sudah benar atau belum? khususnya jenjang SD. yuk sharing","1851750554172821936","","","in","Indonesia","0","1","0","https://x.com/sekarmaharanput/status/1851750554172821936","1677470977024999424","sekarmaharanput"
"1851480042188177497","Wed Oct 30 22:03:45 +0000 2024","0","@tsetchaiklatte Nah ini baru kurikulum merdeka kalau bener diimplementasikan. Millenial kek gw too much itungan apalan makanya auto pake PEMDAS wkwkwk. Thanks for the great thread! I might buy Singaporean math books for fun.","1851746841865654734","","tsetchaiklatte","in","All Blue","0","0","0","https://x.com/grrrandmagus/status/1851746841865654734","2919476047","grrrandmagus"
"1851674870989672863","Wed Oct 30 17:17:46 +0000 2024","1","Kriteria Ketercapaian Tujuan Pembelajaran (KKTP) Bahasa Inggris Kelas 4 SD/MI Fase B Kurikulum Merdeka #kktpkelas4 #kktpbahasainggris #kktpkurikulummerdeka #kriteriaketercapaiantujuanpembelajaran https://t.co/zeEvQhPKc3","1851674870989672863","","","in","","0","0","0","https://x.com/abdierablog/status/1851674870989672863","1760637346700218368","abdierablog"
"1851673431324135883","Wed Oct 30 17:12:03 +0000 2024","0","Bahan Ajar PowerPoint (PPT) Pendidikan Pancasila Kelas 4 SD/MI Kurikulum Merdeka #pptkelas4 #pptpendidikanpancasila #bahanajarppt #mediapembelajaranppt https://t.co/HFl6L4GTJ4","1851673431324135883","","","in","","0","0","0","https://x.com/modulguruku/status/1851673431324135883","1734633813534527488","modulguruku"
"1851643487810371965","Wed Oct 30 15:30:50 +0000 2024","0","@meryanna_ Iya itu terminologi kurikulum proklamasi sebelum kurikulum merdeka. ","1851647960238694896","","meryanna_","in","","0","0","0","https://x.com/sdenta/status/1851647960238694896","17886856","sdenta"
"1851644067580706930","Wed Oct 30 15:15:22 +0000 2024","0","Ngomong-ngomong soal UN gpp sih ada lagi gua juga udh siap muntah tiap pagi. CUMANN KATA GUA NUNGGU ANGKATAN 2025 NYELESEIN LULUS DULU DAH KASIAN NJING TAHUN 2024 MEREKA MASIH KURIKULUM MERDEKA (P5 bangsat duit gua abis beli lem tembak doang)","1851644067580706930","","","in","anti ot6","0","0","0","https://x.com/annewgene/status/1851644067580706930","1617794080557391872","annewgene"
"1851643238605832504","Wed Oct 30 15:12:04 +0000 2024","1","Produk kurikulum merdeka","1851643238605832504","","","in","","0","0","0","https://x.com/RiyoSatriyo123/status/1851643238605832504","782217006300803072","RiyoSatriyo123"
"1851633859831763428","Wed Oct 30 14:34:48 +0000 2024","1","Sumpah Pemuda Kurikulum Merdeka dan Budaya Bangsa https://t.co/ALFfOaAY0p","1851633859831763428","","","in","Oloan","0","0","0","https://x.com/oloansro/status/1851633859831763428","128178869","oloansro"
"1851629085933633755","Wed Oct 30 14:15:50 +0000 2024","10","Inikah Hasil kurikulum merdeka https://t.co/mr9Y124bg1","1851629085933633755","https://pbs.twimg.com/ext_tw_video_thumb/1851628988709670912/pu/img/SlrrctdrNL4vE0q3.jpg","","in","X","0","3","6","https://x.com/__freelance__/status/1851629085933633755","1084315822464462854","__freelance__"
"1851625847574471080","Wed Oct 30 14:02:58 +0000 2024","1","Aduhh pak menteri gimana ini? Anak gk bisa baca kok bisa2nya lolos smp? didikan kurikulum yang ktanya merdeka nih https://t.co/z8UjTi0HNI","1851625847574471080","https://pbs.twimg.com/media/GbJL5Wwa0AE48MO.jpg","","in","","0","0","0","https://x.com/txtKUROKI/status/1851625847574471080","247956768","txtKUROKI"
"1851026885662425360","Wed Oct 30 13:58:03 +0000 2024","0","@kang___L ya kalau para orang tua gak mau anaknya di disiplinkan mengikuti aturan sekolah yg dia pilih tinggal keluar saja buar sekolah sendiri jadi guru sendiri bikin kurikulum sendiri pokoke se merdeka para orang tua wis sekarepmu dewek","1851624612444156130","","kang___L","in","","0","0","0","https://x.com/jerowatu22/status/1851624612444156130","1515060062506549251","jerowatu22"
"1851622419062284679","Wed Oct 30 13:49:20 +0000 2024","0","mengedukasi politik @anyadevennaf supaya pintwr biar gak kayak org2 yg percaya buzzer daripada jurnalis alias kok bisa kalian bela nikmir dibanding najwa shihab astaga gimana sih ya ampun hasil kurikulum merdeka","1851622419062284679","","","in","Pekanbaru","0","1","0","https://x.com/SeptianArifandi/status/1851622419062284679","238596192","SeptianArifandi"
"1851480561602478569","Wed Oct 30 13:19:30 +0000 2024","0","Clue No 3 Area pegunungan yg dikelilingi lautan #tempatinggalku #gempabumi #earthquake #PesisirJawSelatan_JawaBarat #Megathrust #KurikulumMerdeka #Inkuiriapresiatif","1851614909819388295","","sfkav2004","in","D33N33 🇮🇩 INTJ 5w4 ","0","1","0","https://x.com/sfkav2004/status/1851614909819388295","1642487806919593984","sfkav2004"
"1851231498357404003","Wed Oct 30 13:15:16 +0000 2024","4","@majaspleonasme Apalagi liat kondisi guru-guru saat ini. Mereka di tuntut mencerdaskan anak didik nya dengan kurikulum merdeka tapi ternyata itu sangat-sangat sulit untuk diterapkan. Semoga Allah balas dengan surga firdaus-NYA","1851613844843663763","","majaspleonasme","in","","0","1","0","https://x.com/urbrlgrl/status/1851613844843663763","202118563","urbrlgrl"
"1850383514837151904","Wed Oct 30 13:09:35 +0000 2024","0","@zanatul_91 UN bisa mengubah pendidikan di Indonesia lebih baik? saya pelajar dan angkatan saya yang menjadi bahan percobaan saat pertama kali adanya kurikulum merdeka dan sekarang akan menjadi bahan percobaan lagi untuk diadakannya UN?","1851612414900678930","","milea_zyl","in","","0","0","0","https://x.com/milea_zyl/status/1851612414900678930","1837062181239844864","milea_zyl"
