"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853658703666597983","Tue Nov 05 23:51:26 +0000 2024","0","@neVerAl0nely Bagusnya dibikin ring tinju plus aturan dan wasitnya menyalurkan minat bakat merdeka belajar wkwkwkwk ","1853948269384397136","","neVerAl0nely","in","","0","0","0","https://x.com/27Bersih/status/1853948269384397136","1609014544466313218","27Bersih"
"1853944949613658526","Tue Nov 05 23:38:15 +0000 2024","0","Teman-teman Kurikulum Merdeka yang belajar Informatika diajarin for range loop ngga waktu belajar C++?","1853944949613658526","","","in","Indonesia","0","0","0","https://x.com/shiromewo/status/1853944949613658526","1433380858359005185","shiromewo"
"1853683409601900768","Tue Nov 05 22:40:09 +0000 2024","0","@folkshittmedia Merdeka belajar siapabtau bakatnya gulat yakan","1853930328630648981","","folkshittmedia","in","Solana Beach, CA","0","0","0","https://x.com/TheSolgun/status/1853930328630648981","1162748224362299392","TheSolgun"
"1853341467873554466","Tue Nov 05 22:26:54 +0000 2024","0","@glrhn @Merdie_M Kaaaak kurikulum merdeka itu guru ngejar poin. Murid merdeka buat nentuin mau belajar atau engga. Soalnya ujungnya guru utak-atik data biar pada naik kelas. Karena ga ada lagi namanya tinggal kelas. Jadi otomatis ya semua salahkan Nadiem yang bikin aturan itu.","1853926993957699969","","glrhn","in","West Java, Indonesia","0","0","0","https://x.com/notyourhalo/status/1853926993957699969","353610356","notyourhalo"
"1853841260613963822","Tue Nov 05 16:46:13 +0000 2024","0","Nasib Kurikulum Belajar Merdeka.","1853841260613963822","","","in","","0","0","0","https://x.com/Gusdian210/status/1853841260613963822","1822133066351124480","Gusdian210"
"1853812865129693677","Tue Nov 05 14:53:23 +0000 2024","0","ada sekolah yg bbrp tahun ini laris manis jadi rujukan sekolah merdeka belajar. sayang koq ya aku tau banget gurunya sering nyambi proyekan lain sampai harus sering ninggalin kelas. hehe. rasido respek.","1853812865129693677","","","in","","0","0","0","https://x.com/_niknok/status/1853812865129693677","460042126","_niknok"
"1853683409601900768","Tue Nov 05 12:54:46 +0000 2024","0","@Razieq97 @folkshittmedia konsep merdeka belajar udah bagus dan gak ada hubunganya jg","1853783010912661855","","Razieq97","in","sabang sampai marauke","0","0","0","https://x.com/edisa_oktonika/status/1853783010912661855","167700866","edisa_oktonika"
"1853727606648271157","Tue Nov 05 11:58:20 +0000 2024","0","@gkpw94 @pppkguru Jargon2 merdeka belajar pelan2 udh dihilangkan cek Instagram kemdikdasmen.","1853768810769354832","","gkpw94","in","Jakarta, 13220","0","0","0","https://x.com/jodsbram/status/1853768810769354832","86012109","jodsbram"
"1853706443851223241","Tue Nov 05 11:52:38 +0000 2024","0","@SinarOnline Hanya bangsa yg belajar &amp; amal kitab secara suku2 akan samakan fitnah dgn nasihat","1853767376053104773","","SinarOnline","in","","0","0","0","https://x.com/mymindamerdeka/status/1853767376053104773","1690925399868600321","mymindamerdeka"
"1853658703666597983","Tue Nov 05 11:41:09 +0000 2024","0","@neVerAl0nely Definisi merdeka belajar","1853764485565084034","","neVerAl0nely","in","","0","0","0","https://x.com/MukhitsP/status/1853764485565084034","1570756718275203075","MukhitsP"
